"Ms","Dir","Vk","VkName","Scan","Flags","Decoded","Extended","Injected","Extra","Phase"
"10039.7","DN","0xA5","RALT","0x38","0x21","EXT|ALTDOWN","True","False","0x0","watch"
"10074.8","UP","0xA2","LCTRL","0x21D","0x80","-","False","False","0x0","watch"
"10086.9","UP","0xA5","RALT","0x38","0x81","EXT","True","False","0x0","watch"
"10213.4","DN","0xA2","LCTRL","0x21D","0x20","ALTDOWN","False","False","0x0","watch"
"10228.9","DN","0xA5","RALT","0x38","0x21","EXT|ALTDOWN","True","False","0x0","watch"
"10261.4","UP","0xA2","LCTRL","0x21D","0x80","-","False","False","0x0","watch"
"10277","UP","0xA5","RALT","0x38","0x81","EXT","True","False","0x0","watch"
"10422.3","DN","0xA2","LCTRL","0x21D","0x20","ALTDOWN","False","False","0x0","watch"
"10439.4","DN","0xA5","RALT","0x38","0x21","EXT|ALTDOWN","True","False","0x0","watch"
"10469.6","UP","0xA2","LCTRL","0x21D","0x80","-","False","False","0x0","watch"
"10487.5","UP","0xA5","RALT","0x38","0x81","EXT","True","False","0x0","watch"
"10612.3","DN","0xA2","LCTRL","0x21D","0x20","ALTDOWN","False","False","0x0","watch"
"10629.3","DN","0xA5","RALT","0x38","0x21","EXT|ALTDOWN","True","False","0x0","watch"
"10660.5","UP","0xA2","LCTRL","0x21D","0x80","-","False","False","0x0","watch"
"10676.8","UP","0xA5","RALT","0x38","0x81","EXT","True","False","0x0","watch"
"10805.3","DN","0xA2","LCTRL","0x21D","0x20","ALTDOWN","False","False","0x0","watch"
"10820.9","DN","0xA5","RALT","0x38","0x21","EXT|ALTDOWN","True","False","0x0","watch"
"10852","UP","0xA2","LCTRL","0x21D","0x80","-","False","False","0x0","watch"
"10868","UP","0xA5","RALT","0x38","0x81","EXT","True","False","0x0","watch"
"23746.9","DN","0xA2","LCTRL","0x1D","0x00","-","False","False","0x0","watch"
"23763","UP","0xA2","LCTRL","0x1D","0x80","-","False","False","0x0","watch"
"23825.5","DN","0xA2","LCTRL","0x1D","0x00","-","False","False","0x0","watch"
"23888.7","UP","0xA2","LCTRL","0x1D","0x80","-","False","False","0x0","watch"
"24358.8","DN","0xA2","LCTRL","0x21D","0x20","ALTDOWN","False","False","0x0","watch"
"24375.2","DN","0xA5","RALT","0x38","0x21","EXT|ALTDOWN","True","False","0x0","watch"
"24421.9","UP","0xA2","LCTRL","0x21D","0x80","-","False","False","0x0","watch"
"24438.7","UP","0xA5","RALT","0x38","0x81","EXT","True","False","0x0","watch"
"24534.1","DN","0xA2","LCTRL","0x21D","0x20","ALTDOWN","False","False","0x0","watch"
"24550.6","DN","0xA5","RALT","0x38","0x21","EXT|ALTDOWN","True","False","0x0","watch"
"24598.3","UP","0xA2","LCTRL","0x21D","0x80","-","False","False","0x0","watch"
"24613.7","UP","0xA5","RALT","0x38","0x81","EXT","True","False","0x0","watch"
