"Ms","Dir","Vk","VkName","Scan","Flags","Decoded","Extended","Injected","Extra","Phase"
"43866","UP","0xA5","RALT","0x38","0x91","EXT|INJ","True","True","0x4B4D0000","watch"
"43992.5","DN","0xA5","RALT","0x38","0x21","EXT|ALTDOWN","True","False","0x0","watch"
"44009.3","DN","0xA5","RALT","0x38","0x31","EXT|INJ|ALTDOWN","True","True","0x4B4D0000","watch"
"44056.2","UP","0xA5","RALT","0x38","0x81","EXT","True","False","0x0","watch"
"44072.5","UP","0xA5","RALT","0x38","0x91","EXT|INJ","True","True","0x4B4D0000","watch"
"44218.9","DN","0xA5","RALT","0x38","0x21","EXT|ALTDOWN","True","False","0x0","watch"
"44234.6","DN","0xA5","RALT","0x38","0x31","EXT|INJ|ALTDOWN","True","True","0x4B4D0000","watch"
"44282.2","UP","0xA5","RALT","0x38","0x81","EXT","True","False","0x0","watch"
"44298.4","UP","0xA5","RALT","0x38","0x91","EXT|INJ","True","True","0x4B4D0000","watch"
"44458.1","DN","0xA5","RALT","0x38","0x21","EXT|ALTDOWN","True","False","0x0","watch"
"44473.5","DN","0xA5","RALT","0x38","0x31","EXT|INJ|ALTDOWN","True","True","0x4B4D0000","watch"
"44504.9","UP","0xA5","RALT","0x38","0x81","EXT","True","False","0x0","watch"
"44521.1","UP","0xA5","RALT","0x38","0x91","EXT|INJ","True","True","0x4B4D0000","watch"
"44663.3","DN","0xA5","RALT","0x38","0x21","EXT|ALTDOWN","True","False","0x0","watch"
"44679.5","DN","0xA5","RALT","0x38","0x31","EXT|INJ|ALTDOWN","True","True","0x4B4D0000","watch"
"44726.3","UP","0xA5","RALT","0x38","0x81","EXT","True","False","0x0","watch"
"44742.2","UP","0xA5","RALT","0x38","0x91","EXT|INJ","True","True","0x4B4D0000","watch"
"44867.9","DN","0xA5","RALT","0x38","0x21","EXT|ALTDOWN","True","False","0x0","watch"
"44883.2","DN","0xA5","RALT","0x38","0x31","EXT|INJ|ALTDOWN","True","True","0x4B4D0000","watch"
"44915.4","UP","0xA5","RALT","0x38","0x81","EXT","True","False","0x0","watch"
"44931.9","UP","0xA5","RALT","0x38","0x91","EXT|INJ","True","True","0x4B4D0000","watch"
"45088.8","DN","0xA5","RALT","0x38","0x21","EXT|ALTDOWN","True","False","0x0","watch"
"45105.1","DN","0xA5","RALT","0x38","0x31","EXT|INJ|ALTDOWN","True","True","0x4B4D0000","watch"
"45140.2","UP","0xA5","RALT","0x38","0x81","EXT","True","False","0x0","idle"
"45152.3","UP","0xA5","RALT","0x38","0x91","EXT|INJ","True","True","0x4B4D0000","idle"
"45296.1","DN","0xA5","RALT","0x38","0x21","EXT|ALTDOWN","True","False","0x0","idle"
"45312.5","DN","0xA5","RALT","0x38","0x31","EXT|INJ|ALTDOWN","True","True","0x4B4D0000","idle"
"45345.3","UP","0xA5","RALT","0x38","0x81","EXT","True","False","0x0","idle"
"45361.1","UP","0xA5","RALT","0x38","0x91","EXT|INJ","True","True","0x4B4D0000","idle"
